settlement_id,capture_date,settled_on,utr,gross,fee,tax,refunds,chargebacks,withholding,carry_forward_in,carry_forward_out,net
setl_20260805_032,2026-08-01,2026-08-05,WYEM374845398628,270790.95,3163.78,569.50,19484.89,0.00,2707.91,0.00,0.00,244864.87
setl_20260805_033,2026-08-02,2026-08-05,VSKA905911918623,334022.47,3460.96,622.98,0.00,0.00,3340.22,0.00,0.00,326598.31
setl_20260805_034,2026-08-03,2026-08-05,HTYY220715116966,132757.44,1127.76,203.00,0.00,0.00,1327.57,0.00,0.00,130099.11
setl_20260806_035,2026-08-04,2026-08-06,MWPE521452647124,540098.98,4699.16,845.87,1028.43,0.00,5400.99,0.00,0.00,528124.53
setl_20260807_036,2026-08-05,2026-08-07,MGHL157184090805,270687.44,2534.25,456.15,2635.40,0.00,2706.87,0.00,0.00,262354.77
setl_20260810_037,2026-08-06,2026-08-10,DFAQ005640995123,592703.44,729.34,131.28,38142.95,0.00,5927.03,0.00,0.00,547772.84
setl_20260811_038,2026-08-07,2026-08-11,UTPF835129592728,110916.47,815.32,146.75,37225.76,0.00,1109.16,0.00,0.00,71619.48
setl_20260812_039,2026-08-08,2026-08-12,EOAT081441529821,379516.98,4404.77,792.87,6304.90,12378.00,3795.17,0.00,0.00,351841.27
setl_20260812_040,2026-08-09,2026-08-12,PGTE957867181535,266614.47,1667.71,300.19,0.00,0.00,2666.14,0.00,0.00,261980.43
setl_20260812_041,2026-08-10,2026-08-12,EHPG605079181589,176440.98,2843.66,511.85,0.00,0.00,1764.41,0.00,0.00,171321.06
setl_20260813_042,2026-08-11,2026-08-13,SWRQ683452734666,404965.44,7570.50,1362.69,2104.00,0.00,4049.65,0.00,0.00,389878.60
setl_20260814_043,2026-08-12,2026-08-14,MCPA715879647408,490472.90,2247.39,404.52,803.46,0.00,4904.73,0.00,0.00,482112.80
setl_20260817_044,2026-08-13,2026-08-17,BGCJ998250800463,253686.92,2687.66,483.78,16253.43,5949.00,2536.87,0.00,0.00,225776.18
setl_20260818_045,2026-08-14,2026-08-18,LRBV688285031723,650937.94,2694.37,484.99,3665.45,0.00,6509.38,0.00,0.00,637583.75
setl_20260819_046,2026-08-15,2026-08-19,WKCW373990063140,64087.97,1030.11,185.42,30135.19,1962.99,640.88,0.00,0.00,30133.38
