bank_row_id,txn_date,narration,credit,debit,balance
bank_000063,2026-07-16,RENT-PROPERTY MGMT-5133,0.00,54931.23,6871721.29
bank_000011,2026-07-17,IMPS/EOCO692061832583/RAZORPAY SOFT,266673.63,0.00,7138394.92
bank_000012,2026-07-17,NEFT-RAZORPAY SOFTWARE PRIVATE LIMI,658638.32,0.00,7797033.24
bank_000014,2026-07-17,RTGS-NOKM199256213852-RAZORPAYSOFTWARE-MERCHANT SETTLEMENT,218424.29,0.00,8015457.53
bank_000054,2026-07-19,NEFT CR-TGTF335933264386-CUSTOMER DIRECT TRANSFER,2468.00,0.00,8017925.53
bank_000015,2026-07-20,NEFT CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-NBUI486057293839,167084.77,0.00,8185010.30
bank_000064,2026-07-20,GST PAYMENT CHALLAN 9426,0.00,83011.14,8101999.16
bank_000016,2026-07-21,RTGS-UWJX186383754395-RAZORPAYSOFTWARE-MERCHANT SETTLEMENT,559781.67,0.00,8661780.83
bank_000017,2026-07-22,IMPS/KJTT104118728451/RAZORPAY SOFTWARE/PAYOUT,113688.72,0.00,8775469.55
bank_000018,2026-07-22,IMPS/VOCV440830071839/RAZORPAY SOFTWARE/PAYOUT,57002.24,0.00,8832471.79
bank_000019,2026-07-22,NEFT CR-RATN0000088-RAZORPAY SOFTWA,160350.95,0.00,8992822.74
bank_000020,2026-07-23,IMPS/RQHG782145028821/RAZORPAY SOFTWARE/PAYOUT,509013.51,0.00,9501836.25
bank_000065,2026-07-23,SALARY DISBURSAL AUG-1533,0.00,185381.54,9316454.71
bank_000021,2026-07-24,NEFT CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-BGEG451000261577,306843.38,0.00,9623298.09
bank_000066,2026-07-24,UPI/DR/4531/OFFICE SUPPLIES,0.00,4751.76,9618546.33
bank_000022,2026-07-27,NEFT-RAZORPAY SOFTWARE PRIVATE LIMITED-KAZF086810962473-SETTLEMENT,604841.40,0.00,10223387.73
bank_000067,2026-07-27,SALARY DISBURSAL AUG-8982,0.00,203297.75,10020089.98
bank_000023,2026-07-28,IMPS/RZUT750342810011/RAZORPAY SOFTWARE/PAYOUT,306939.36,0.00,10327029.34
bank_000053,2026-07-28,NEFT CR-VPKG897092361865-CUSTOMER DIRECT TRANSFER,9728.50,0.00,10336757.84
bank_000024,2026-07-29,RTGS-QGEW688348384069-RAZORPAYSOFTWARE-MERCHANT SETTLEMENT,409241.81,0.00,10745999.65
bank_000025,2026-07-29,IMPS/LCPZ996890770353/RAZORPAY SOFT,199472.89,0.00,10945472.54
bank_000026,2026-07-29,IMPS/PSAV741449481397/RAZORPAY SOFTWARE/PAYOUT,403897.45,0.00,11349369.99
bank_000027,2026-07-30,NEFT CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-XBKJ826941969379,151722.10,0.00,11501092.09
bank_000068,2026-07-30,GST PAYMENT CHALLAN 6279,0.00,82696.32,11418395.77
bank_000028,2026-07-31,RTGS-ZNCT867152899652-RAZORPAYSOFTWARE-MERCHANT SETTLEMENT,218977.17,0.00,11637372.94
bank_000029,2026-08-03,RTGS-UBOT764433158586-RAZORPAYSOFTWARE-MERCHANT SETTLEMENT,99565.57,0.00,11736938.51
bank_000069,2026-08-03,UPI/DR/5561/OFFICE SUPPLIES,0.00,11338.76,11725599.75
bank_000030,2026-08-04,RTGS-VAVL813350828470-RAZORPAYSOFTWARE-MERCHANT SETTLEMENT,885707.63,0.00,12611307.38
bank_000031,2026-08-05,RTGS-OPWI881169533378-RAZORPAYSOFTWARE-MERCHANT SETTLEMENT,231180.72,0.00,12842488.10
bank_000032,2026-08-05,IMPS/EJPL354262531804/RAZORPAY SOFTWARE/PAYOUT,109689.53,0.00,12952177.63
bank_000033,2026-08-05,IMPS/DLWR247670938335/RAZORPAY SOFTWARE/PAYOUT,221488.66,0.00,13173666.29
bank_000034,2026-08-06,NEFT CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-EZTW925543104050,247837.85,0.00,13421504.14
bank_000035,2026-08-07,IMPS/HQYQ253702341223/RAZORPAY SOFTWARE/PAYOUT,193175.98,0.00,13614680.12
bank_000048,2026-08-07,NEFT CR-EDZN208042317820-CUSTOMER DIRECT TRANSFER,2044.99,0.00,13616725.11
bank_000036,2026-08-10,RTGS-SEWK856811711572-RAZORPAYSOFTW,113101.66,0.00,13729826.77
bank_000070,2026-08-10,SALARY DISBURSAL AUG-8857,0.00,309429.31,13420397.46
bank_000037,2026-08-11,NEFT-RAZORPAY SOFTWARE PRIVATE LIMI,244108.19,0.00,13664505.65
bank_000052,2026-08-11,NEFT CR-NSRD307592400656-CUSTOMER DIRECT TRANSFER,890.50,0.00,13665396.15
bank_000038,2026-08-12,NEFT-RAZORPAY SOFTWARE PRIVATE LIMITED-GMIX109933522070-SETTLEMENT,159193.27,0.00,13824589.42
bank_000039,2026-08-12,NEFT-RAZORPAY SOFTWARE PRIVATE LIMITED-GCET134258085161-SETTLEMENT,135217.21,0.00,13959806.63
bank_000040,2026-08-12,IMPS/FUCH842558858718/RAZORPAY SOFTWARE/PAYOUT,225850.00,0.00,14185656.63
bank_000046,2026-08-12,NEFT CR-ISXX098836047989-CUSTOMER DIRECT TRANSFER,74362.00,0.00,14260018.63
bank_000071,2026-08-12,UPI/DR/3892/OFFICE SUPPLIES,0.00,8225.26,14251793.37
bank_000041,2026-08-13,IMPS/NOIZ461537186480/RAZORPAY SOFTWARE/PAYOUT,612052.54,0.00,14863845.91
bank_000042,2026-08-14,RTGS-PPDK688985748900-RAZORPAYSOFTW,122988.94,0.00,14986834.85
bank_000050,2026-08-14,NEFT CR-XZVY668042797099-CUSTOMER DIRECT TRANSFER,1011.00,0.00,14987845.85
bank_000072,2026-08-14,UPI/DR/3595/OFFICE SUPPLIES,0.00,4647.34,14983198.51
bank_000043,2026-08-17,NEFT CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-EYRY532920233857,609762.28,0.00,15592960.79
bank_000044,2026-08-18,IMPS/BKFD404770679561/RAZORPAY SOFTWARE/PAYOUT,140162.78,0.00,15733123.57
bank_000051,2026-08-18,NEFT CR-PWMU020409386455-CUSTOMER DIRECT TRANSFER,1119.00,0.00,15734242.57
bank_000045,2026-08-19,NEFT-RAZORPAY SOFTWARE PRIVATE LIMITED-AVBV832337062965-SETTLEMENT,32909.04,0.00,15767151.61
bank_000049,2026-08-19,NEFT CR-AVHJ273951025634-CUSTOMER DIRECT TRANSFER,494.00,0.00,15767645.61
bank_000055,2026-08-19,NEFT CR-UIVA247453617063-CUSTOMER DIRECT TRANSFER,7772.00,0.00,15775417.61
bank_000073,2026-08-19,NEFT DR-VENDOR PAYMENT-INV1319,0.00,84988.86,15690428.75
