settlement_id,capture_date,settled_on,utr,gross,fee,tax,refunds,chargebacks,withholding,carry_forward_in,carry_forward_out,net
setl_20260804_031,2026-07-31,2026-08-04,SJXU189042438857,330484.43,5283.15,950.96,665.90,0.00,3304.84,0.00,0.00,320279.58
setl_20260805_032,2026-08-01,2026-08-05,EMQK326930462584,581970.96,9476.27,1705.73,3972.13,0.00,5819.71,0.00,0.00,560997.12
setl_20260805_033,2026-08-02,2026-08-05,XUFP289429945321,102237.50,1627.92,293.03,0.00,0.00,1022.38,0.00,0.00,99294.17
setl_20260805_034,2026-08-03,2026-08-05,HOMG130740228096,178423.47,2769.34,498.49,0.00,0.00,1784.23,0.00,0.00,173371.41
setl_20260806_035,2026-08-04,2026-08-06,GFKU284972352215,448384.96,1901.01,342.18,6973.12,0.00,4483.85,0.00,0.00,434684.80
setl_20260807_036,2026-08-05,2026-08-07,BJDJ070652266266,430113.37,4397.95,791.63,2747.12,0.00,4301.13,0.00,0.00,417875.54
setl_20260810_037,2026-08-06,2026-08-10,LMHI694082554433,725439.43,12570.57,2262.71,16569.12,2146.00,7254.39,0.00,0.00,684636.64
setl_20260811_038,2026-08-07,2026-08-11,CQWA676723548774,115299.97,928.39,167.10,722.84,1801.00,1153.00,0.00,0.00,110527.64
setl_20260812_039,2026-08-08,2026-08-12,JKAE545471217990,61634.97,807.67,145.38,146224.96,0.00,616.35,0.00,86159.39,0.00
setl_20260812_040,2026-08-09,2026-08-12,YXFX711100615171,397842.42,6744.30,1213.98,0.00,0.00,3978.42,86159.39,0.00,299746.33
setl_20260812_041,2026-08-10,2026-08-12,UWNO609875312650,104686.95,827.51,148.94,0.00,0.00,1046.87,0.00,0.00,102663.63
setl_20260813_042,2026-08-11,2026-08-13,QHGJ606030196775,198674.95,2450.45,441.09,6799.45,0.00,1986.75,0.00,0.00,186997.21
setl_20260814_043,2026-08-12,2026-08-14,ZKQT146678794413,150620.96,1727.37,310.92,902.54,0.00,1506.21,0.00,0.00,146173.92
setl_20260817_044,2026-08-13,2026-08-17,SKJX460096460421,131714.95,1298.79,233.77,43596.65,0.00,1317.15,0.00,0.00,85268.59
setl_20260818_045,2026-08-14,2026-08-18,AQIK710597284587,92817.45,904.33,162.78,28118.50,0.00,928.17,0.00,0.00,62703.67
setl_20260819_046,2026-08-15,2026-08-19,EIYK285917022342,242798.47,3374.83,607.46,1217.24,0.00,2427.98,0.00,0.00,235170.96
