bank_row_id,txn_date,narration,credit,debit,balance
bank_000052,2026-07-18,NEFT CR-DJMP588343710813-CUSTOMER DIRECT TRANSFER,9361.00,0.00,7619524.31
bank_000016,2026-07-20,NEFT-RAZORPAY SOFTWARE PRIVATE LIMITED-LQQY049445028772-SETTLEMENT,183176.40,0.00,7802700.71
bank_000017,2026-07-21,IMPS/GOJM101426564143/RAZORPAY SOFT,160819.88,0.00,7963520.59
bank_000067,2026-07-21,RENT-PROPERTY MGMT-5266,0.00,72793.90,7890726.69
bank_000018,2026-07-22,IMPS/HCJI410421857026/RAZORPAY SOFT,255919.78,0.00,8146646.47
bank_000019,2026-07-22,NEFT-RAZORPAY SOFTWARE PRIVATE LIMI,183562.95,0.00,8330209.42
bank_000020,2026-07-22,IMPS/DJYW679508854722/RAZORPAY SOFT,395006.60,0.00,8725216.02
bank_000056,2026-07-22,NEFT CR-NBIT477653824835-CUSTOMER DIRECT TRANSFER,2156.00,0.00,8727372.02
bank_000021,2026-07-23,NEFT CR-RATN0000088-RAZORPAY SOFTWA,379485.05,0.00,9106857.07
bank_000022,2026-07-24,NEFT-RAZORPAY SOFTWARE PRIVATE LIMITED-URUP598779676369-SETTLEMENT,122876.57,0.00,9229733.64
bank_000068,2026-07-24,UPI/DR/2854/OFFICE SUPPLIES,0.00,2841.45,9226892.19
bank_000023,2026-07-27,NEFT CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-FVMM187839321878,134961.75,0.00,9361853.94
bank_000069,2026-07-27,UPI/DR/6642/OFFICE SUPPLIES,0.00,856.57,9360997.37
bank_000024,2026-07-28,NEFT CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-HFHN772193798293,154722.23,0.00,9515719.60
bank_000046,2026-07-28,NEFT CR-SQBY666970093473-CUSTOMER DIRECT TRANSFER,1224.50,0.00,9516944.10
bank_000054,2026-07-28,NEFT CR-JRXR004595792309-CUSTOMER DIRECT TRANSFER,2795.99,0.00,9519740.09
bank_000070,2026-07-28,RENT-PROPERTY MGMT-3141,0.00,39652.84,9480087.25
bank_000025,2026-07-29,IMPS/HKJG972176415678/RAZORPAY SOFT,180774.68,0.00,9660861.93
bank_000026,2026-07-29,RTGS-VWUG021870839488-RAZORPAYSOFTWARE-MERCHANT SETTLEMENT,507617.35,0.00,10168479.28
bank_000027,2026-07-29,IMPS/NLWM023652536550/RAZORPAY SOFTWARE/PAYOUT,557206.62,0.00,10725685.90
bank_000028,2026-07-30,NEFT-RAZORPAY SOFTWARE PRIVATE LIMITED-FPJG213622170272-SETTLEMENT,0.00,0.00,10725685.90
bank_000071,2026-07-30,UPI/DR/4506/OFFICE SUPPLIES,0.00,1276.85,10724409.05
bank_000029,2026-07-31,NEFT CR-RATN0000088-RAZORPAY SOFTWA,222955.79,0.00,10947364.84
bank_000072,2026-07-31,RENT-PROPERTY MGMT-4822,0.00,68550.46,10878814.38
bank_000030,2026-08-03,NEFT CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-KRZV892524407426,349532.62,0.00,11228347.00
bank_000055,2026-08-03,NEFT CR-QXZH115389486999-CUSTOMER DIRECT TRANSFER,11822.99,0.00,11240169.99
bank_000031,2026-08-04,NEFT CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-SJXU189042438857,320279.58,0.00,11560449.57
bank_000053,2026-08-04,NEFT CR-APLR879069874833-CUSTOMER DIRECT TRANSFER,257.00,0.00,11560706.57
bank_000032,2026-08-05,IMPS/EMQK326930462584/RAZORPAY SOFTWARE/PAYOUT,560761.12,0.00,12121467.69
bank_000033,2026-08-05,NEFT CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-XUFP289429945321,99294.17,0.00,12220761.86
bank_000034,2026-08-05,NEFT CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-HOMG130740228096,144888.00,0.00,12365649.86
bank_000049,2026-08-05,NEFT CR-PRNH957294108280-CUSTOMER DIRECT TRANSFER,1321.00,0.00,12366970.86
bank_000035,2026-08-06,NEFT CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-GFKU284972352215,434684.80,0.00,12801655.66
bank_000036,2026-08-07,NEFT CR-RATN0000088-RAZORPAY SOFTWA,417875.54,0.00,13219531.20
bank_000037,2026-08-10,RTGS-LMHI694082554433-RAZORPAYSOFTW,684636.64,0.00,13904167.84
bank_000038,2026-08-11,IMPS/CQWA676723548774/RAZORPAY SOFTWARE/PAYOUT,110527.64,0.00,14014695.48
bank_000073,2026-08-11,RENT-PROPERTY MGMT-5492,0.00,47005.67,13967689.81
bank_000039,2026-08-12,NEFT CR-RATN0000088-RAZORPAY SOFTWA,0.00,0.00,13967689.81
bank_000040,2026-08-12,NEFT-RAZORPAY SOFTWARE PRIVATE LIMI,102663.63,0.00,14070353.44
bank_000074,2026-08-12,GST PAYMENT CHALLAN 1033,0.00,125830.26,13944523.18
bank_000041,2026-08-13,RTGS-QHGJ606030196775-RAZORPAYSOFTWARE-MERCHANT SETTLEMENT,185196.21,0.00,14129719.39
bank_000075,2026-08-13,NEFT DR-VENDOR PAYMENT-INV8348,0.00,83052.29,14046667.10
bank_000042,2026-08-14,NEFT-RAZORPAY SOFTWARE PRIVATE LIMITED-ZKQT146678794413-SETTLEMENT,146173.92,0.00,14192841.02
bank_000043,2026-08-17,IMPS/SKJX460096460421/RAZORPAY SOFTWARE/PAYOUT,85268.59,0.00,14278109.61
bank_000076,2026-08-17,UPI/DR/9237/OFFICE SUPPLIES,0.00,4942.65,14273166.96
bank_000044,2026-08-18,IMPS/AQIK710597284587/RAZORPAY SOFTWARE/PAYOUT,62703.67,0.00,14335870.63
bank_000077,2026-08-18,UPI/DR/1065/OFFICE SUPPLIES,0.00,9722.46,14326148.17
bank_000045,2026-08-19,NEFT CR-RATN0000088-RAZORPAY SOFTWA,235170.97,0.00,14561319.14
